stationNumber,stationName,latitude,longitude,date,precip_in,aorc_in
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-31,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-01,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-02,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-03,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-04,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-05,0.0,0.0314960634614539
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-06,0.02,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-07,0.01,0.854330721391937
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-08,0.7,0.007874015865363475
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-09,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-10,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-11,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-12,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-13,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-14,0.0,0.003937007932681738
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-16,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-17,0.0,0.003937007932681738
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-18,0.79,0.6220472533637145
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-20,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-21,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-22,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-23,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-24,0.0,1.0551181259587055
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-25,1.17,2.5314961007143566
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-26,1.28,0.003937007932681738
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-27,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-28,0.06,0.05905511899022606
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-29,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-30,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-01,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-02,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-03,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-04,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-05,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-06,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-07,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-09,0.69,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-10,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-11,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-12,0.0,0.7874015865363475
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-13,1.99,2.248031529561272
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-14,2.56,2.059055148792548
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-15,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-16,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-17,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-18,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-19,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-20,0.0,0.6456693009598049
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-21,0.86,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-22,0.0,0.04724409519218085
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-23,0.03,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-24,0.0,0.003937007932681738
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-25,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-26,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-27,0.0,0.0
